MMMM_YY,Employee_ID,Age,Gender,City,Education_Level,Department,Income,Date_Of_Joining,LastWorkingDate,Joining_Designation,Grade,Total_Business_Value,Quarterly_Rating,Overtime_Flag
Jan-21,10001,29.0,0,BLR,1,Operations,64380.0,2018-08-17,2021-08-21,Analyst,C,11806,2.0,0
Feb-21,10001,29.0,0,BLR,1,Operations,64380.0,2018-08-17,2021-08-21,Analyst,C,16644,1.0,0
Mar-21,10001,29.0,0,BLR,1,Operations,64380.0,2018-08-17,2021-08-21,Analyst,C,26253,3.0,1
Apr-21,10001,29.0,0,BLR,1,Operations,64380.0,2018-08-17,2021-08-21,Analyst,C,-12414,1.0,1
May-21,10001,29.0,0,BLR,1,Operations,64380.0,2018-08-17,2021-08-21,Analyst,C,39153,2.0,0
Jun-21,10001,29.0,0,BLR,1,Operations,64380.0,2018-08-17,2021-08-21,Analyst,C,20005,1.0,1
Jul-21,10001,29.0,0,BLR,1,Operations,64380.0,2018-08-17,2021-08-21,Analyst,C,57766,2.0,1
Aug-21,10001,29.0,0,BLR,1,Operations,,2018-08-17,2021-08-21,Analyst,C,37659,2.0,0
Jan-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,-12611,2.0,0
Feb-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,34307,3.0,0
Mar-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,108524,3.0,1
Apr-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,-17125,1.0,0
May-21,10002,42.0,0,KOL,1,Operations,,2018-02-21,,Analyst,A,29089,3.0,0
Jun-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,18603,2.0,0
Jul-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,-343,3.0,1
Aug-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,21676,3.0,0
Sep-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,20999,1.0,1
Oct-21,10002,,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,19293,3.0,1
Nov-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,15380,3.0,0
Dec-21,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,43710,3.0,0
Jan-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,26488,4.0,1
Feb-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,31961,3.0,1
Mar-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,15623,3.0,0
Apr-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,A,26106,3.0,1
May-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,31835,2.0,0
Jun-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,27675,3.0,0
Jul-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,61562,2.0,0
Aug-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,47383,3.0,1
Sep-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,12215,2.0,1
Oct-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,47520,3.0,0
Nov-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,17920,4.0,0
Dec-22,10002,42.0,0,KOL,1,Operations,66613.0,2018-02-21,,Analyst,B,-2789,2.0,1
Jan-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,-15335,2.0,0
